*******,*****(),****()*,***()**,***()(),**()***,**()*(),**()()*,*()****,*()**(),*()*()*,*()()**,*()()(),()*****,()***(),()**()*,()*()**,()*()(),()()***,()()*(),()()()*
1325476,1325467,[1325746],1324576,1324567,[1352476],[1352467],[1352746],1235476,1235467,[1235746],1234576,1234567,3125476,3125467,[3125746],3124576,3124567,[3152476],[3152467],[3152746]
1627453,1627435,1627543,1624753,[1624735],1672453,1672435,1672543,1267453,1267435,1267543,1264753,[1264735],6127453,6127435,6127543,6124753,[6124735],[6172453],[6172435],[6172543]
1634275,1634257,[1634725],1632475,1632457,1643275,1643257,[1643725],1364275,1364257,[1364725],[1362475],[1362457],6134275,6134257,[6134725],6132475,6132457,6143275,6143257,[6143725]
1635274,1635247,1635724,1632574,1632547,1653274,1653247,[1653724],1365274,1365247,1365724,[1362574],[1362547],6135274,6135247,6135724,6132574,6132547,6153274,6153247,[6153724]
1635472,1635427,1635742,1634572,1634527,1653472,1653427,[1653742],1365472,1365427,1365742,1364572,1364527,6135472,6135427,6135742,6134572,6134527,6153472,6153427,[6153742]
1637254,1637245,1637524,1632754,1632745,1673254,1673245,1673524,1367254,1367245,1367524,[1362754],[1362745],6137254,6137245,6137524,6132754,6132745,[6173254],[6173245],[6173524]
1637452,1637425,1637542,1634752,[1634725],1673452,1673425,1673542,1367452,1367425,1367542,1364752,[1364725],6137452,6137425,6137542,6134752,[6134725],[6173452],[6173425],[6173542]
1645273,1645237,1645723,1642573,1642537,1654273,1654237,1654723,1465273,1465237,1465723,[1462573],[1462537],6145273,6145237,6145723,6142573,6142537,6154273,6154237,6154723
1645372,1645327,1645732,1643572,1643527,1654372,1654327,1654732,1465372,1465327,1465732,[1463572],[1463527],6145372,6145327,6145732,6143572,6143527,6154372,6154327,6154732
1647253,1647235,1647523,1642753,[1642735],1674253,1674235,1674523,1467253,1467235,1467523,[1462753],[1462735],6147253,6147235,6147523,6142753,[6142735],[6174253],[6174235],[6174523]
1647352,1647325,1647532,1643752,[1643725],1674352,1674325,1674532,1467352,1467325,1467532,[1463752],[1463725],6147352,6147325,6147532,6143752,[6143725],[6174352],[6174325],[6174532]
1657243,1657234,1657423,[1652743],[1652734],1675243,1675234,1675423,1567243,1567234,1567423,[1562743],[1562734],6157243,6157234,6157423,[6152743],[6152734],[6175243],[6175234],[6175423]
1657342,1657324,1657432,[1653742],[1653724],1675342,1675324,1675432,1567342,1567324,1567432,[1563742],[1563724],6157342,6157324,6157432,[6153742],[6153724],[6175342],[6175324],[6175432]
1724365,1724356,[1724635],1723465,1723456,1742365,1742356,[1742635],1274365,1274356,[1274635],1273465,1273456,7124365,7124356,[7124635],7123465,7123456,7142365,7142356,[7142635]
1725364,1725346,1725634,1723564,1723546,1752364,1752346,[1752634],1275364,1275346,1275634,1273564,1273546,7125364,7125346,7125634,7123564,7123546,7152364,7152346,[7152634]
1725463,1725436,1725643,1724563,1724536,1752463,1752436,[1752643],1275463,1275436,1275643,1274563,1274536,7125463,7125436,7125643,7124563,7124536,7152463,7152436,[7152643]
1726354,1726345,1726534,1723654,1723645,1762354,1762345,1762534,1276354,1276345,1276534,1273654,1273645,7126354,7126345,7126534,7123654,7123645,7162354,7162345,7162534
1726453,1726435,1726543,1724653,[1724635],1762453,1762435,1762543,1276453,1276435,1276543,1274653,[1274635],7126453,7126435,7126543,7124653,[7124635],7162453,7162435,7162543
1734265,1734256,[1734625],1732465,1732456,1743265,1743256,[1743625],1374265,1374256,[1374625],[1372465],[1372456],7134265,7134256,[7134625],7132465,7132456,7143265,7143256,[7143625]
1735264,1735246,1735624,1732564,1732546,1753264,1753246,[1753624],1375264,1375246,1375624,[1372564],[1372546],7135264,7135246,7135624,7132564,7132546,7153264,7153246,[7153624]
1735462,1735426,1735642,1734562,1734526,1753462,1753426,[1753642],1375462,1375426,1375642,1374562,1374526,7135462,7135426,7135642,7134562,7134526,7153462,7153426,[7153642]
1736254,1736245,1736524,1732654,1732645,1763254,1763245,1763524,1376254,1376245,1376524,[1372654],[1372645],7136254,7136245,7136524,7132654,7132645,7163254,7163245,7163524
1736452,1736425,1736542,1734652,[1734625],1763452,1763425,1763542,1376452,1376425,1376542,1374652,[1374625],7136452,7136425,7136542,7134652,[7134625],7163452,7163425,7163542
1745263,1745236,1745623,1742563,1742536,1754263,1754236,1754623,1475263,1475236,1475623,[1472563],[1472536],7145263,7145236,7145623,7142563,7142536,7154263,7154236,7154623
1745362,1745326,1745632,1743562,1743526,1754362,1754326,1754632,1475362,1475326,1475632,[1473562],[1473526],7145362,7145326,7145632,7143562,7143526,7154362,7154326,7154632
1746253,1746235,1746523,1742653,[1742635],1764253,1764235,1764523,1476253,1476235,1476523,[1472653],[1472635],7146253,7146235,7146523,7142653,[7142635],7164253,7164235,7164523
1746352,1746325,1746532,1743652,[1743625],1764352,1764325,1764532,1476352,1476325,1476532,[1473652],[1473625],7146352,7146325,7146532,7143652,[7143625],7164352,7164325,7164532
1756243,1756234,1756423,[1752643],[1752634],1765243,1765234,1765423,1576243,1576234,1576423,[1572643],[1572634],7156243,7156234,7156423,[7152643],[7152634],7165243,7165234,7165423
1756342,1756324,1756432,[1753642],[1753624],1765342,1765324,1765432,1576342,1576324,1576432,[1573642],[1573624],7156342,7156324,7156432,[7153642],[7153624],7165342,7165324,7165432
2315476,2315467,[2315746],2314576,2314567,[2351476],[2351467],[2351746],2135476,2135467,[2135746],2134576,2134567,3215476,3215467,[3215746],3214576,3214567,[3251476],[3251467],[3251746]
2316475,2316457,2316745,2314675,2314657,[2361475],[2361457],[2361745],2136475,2136457,2136745,2134675,2134657,3216475,3216457,3216745,3214675,3214657,[3261475],[3261457],[3261745]
2316574,2316547,2316754,2315674,2315647,[2361574],[2361547],[2361754],2136574,2136547,2136754,2135674,2135647,3216574,3216547,3216754,3215674,3215647,[3261574],[3261547],[3261754]
2317465,2317456,2317645,2314765,2314756,[2371465],[2371456],[2371645],2137465,2137456,2137645,2134765,2134756,3217465,3217456,3217645,3214765,3214756,[3271465],[3271456],[3271645]
2317564,2317546,2317654,2315764,[2315746],[2371564],[2371546],[2371654],2137564,2137546,2137654,2135764,[2135746],3217564,3217546,3217654,3215764,[3215746],[3271564],[3271546],[3271654]
2415376,2415367,[2415736],2413576,2413567,2451376,2451367,[2451736],2145376,2145367,[2145736],2143576,2143567,4215376,4215367,[4215736],4213576,4213567,[4251376],[4251367],[4251736]
2416375,2416357,2416735,2413675,2413657,2461375,2461357,[2461735],2146375,2146357,2146735,2143675,2143657,4216375,4216357,4216735,4213675,4213657,[4261375],[4261357],[4261735]
2416573,2416537,2416753,2415673,2415637,[2461573],[2461537],[2461753],2146573,2146537,2146753,2145673,2145637,4216573,4216537,4216753,4215673,4215637,[4261573],[4261537],[4261753]
2417365,2417356,2417635,2413765,2413756,2471365,2471356,[2471635],2147365,2147356,2147635,2143765,2143756,4217365,4217356,4217635,4213765,4213756,[4271365],[4271356],[4271635]
2417563,2417536,2417653,2415763,[2415736],[2471563],[2471536],[2471653],2147563,2147536,2147653,2145763,[2145736],4217563,4217536,4217653,4215763,[4215736],[4271563],[4271536],[4271653]
2435176,2435167,[2435716],2431576,2431567,2453176,2453167,[2453716],2345176,2345167,[2345716],2341576,2341567,4235176,4235167,[4235716],4231576,4231567,[4253176],[4253167],[4253716]
2436175,2436157,2436715,2431675,2431657,2463175,2463157,[2463715],2346175,2346157,2346715,2341675,2341657,4236175,4236157,4236715,4231675,4231657,[4263175],[4263157],[4263715]
2436571,2436517,2436751,2435671,2435617,[2463571],[2463517],[2463751],2346571,2346517,2346751,2345671,2345617,4236571,4236517,4236751,4235671,4235617,[4263571],[4263517],[4263751]
2437165,2437156,2437615,2431765,2431756,2473165,2473156,[2473615],2347165,2347156,2347615,2341765,2341756,4237165,4237156,4237615,4231765,4231756,[4273165],[4273156],[4273615]
2437561,2437516,2437651,2435761,[2435716],[2473561],[2473516],[2473651],2347561,2347516,2347651,2345761,[2345716],4237561,4237516,4237651,4235761,[4235716],[4273561],[4273516],[4273651]
2514376,2514367,[2514736],2513476,2513467,2541376,2541367,[2541736],2154376,2154367,[2154736],2153476,2153467,5214376,5214367,[5214736],5213476,5213467,5241376,5241367,[5241736]
2516374,2516347,2516734,2513674,2513647,2561374,2561347,[2561734],2156374,2156347,2156734,2153674,2153647,5216374,5216347,5216734,5213674,5213647,[5261374],[5261347],[5261734]
2516473,2516437,2516743,2514673,2514637,2561473,2561437,[2561743],2156473,2156437,2156743,2154673,2154637,5216473,5216437,5216743,5214673,5214637,[5261473],[5261437],[5261743]
2517364,2517346,2517634,2513764,2513746,2571364,2571346,[2571634],2157364,2157346,2157634,2153764,2153746,5217364,5217346,5217634,5213764,5213746,[5271364],[5271346],[5271634]
2517463,2517436,2517643,2514763,[2514736],2571463,2571436,[2571643],2157463,2157436,2157643,2154763,[2154736],5217463,5217436,5217643,5214763,[5214736],[5271463],[5271436],[5271643]
2534176,2534167,[2534716],2531476,2531467,2543176,2543167,[2543716],2354176,2354167,[2354716],[2351476],[2351467],5234176,5234167,[5234716],5231476,5231467,5243176,5243167,[5243716]
2536174,2536147,2536714,2531674,2531647,2563174,2563147,[2563714],2356174,2356147,2356714,2351674,2351647,5236174,5236147,5236714,5231674,5231647,[5263174],[5263147],[5263714]
2536471,2536417,2536741,2534671,2534617,2563471,2563417,[2563741],2356471,2356417,2356741,2354671,2354617,5236471,5236417,5236741,5234671,5234617,[5263471],[5263417],[5263741]
2537164,2537146,2537614,2531764,2531746,2573164,2573146,[2573614],2357164,2357146,2357614,2351764,[2351746],5237164,5237146,5237614,5231764,5231746,[5273164],[5273146],[5273614]
2537461,2537416,2537641,2534761,[2534716],2573461,2573416,[2573641],2357461,2357416,2357641,2354761,[2354716],5237461,5237416,5237641,5234761,[5234716],[5273461],[5273416],[5273641]
2546173,2546137,2546713,2541673,2541637,2564173,2564137,2564713,2456173,2456137,2456713,2451673,2451637,5246173,5246137,5246713,5241673,5241637,[5264173],[5264137],[5264713]
2546371,2546317,2546731,2543671,2543617,2564371,2564317,2564731,2456371,2456317,2456731,2453671,2453617,5246371,5246317,5246731,5243671,5243617,[5264371],[5264317],[5264731]
2547163,2547136,2547613,2541763,[2541736],2574163,2574136,2574613,2457163,2457136,2457613,2451763,[2451736],5247163,5247136,5247613,5241763,[5241736],[5274163],[5274136],[5274613]
2547361,2547316,2547631,2543761,[2543716],2574361,2574316,2574631,2457361,2457316,2457631,2453761,[2453716],5247361,5247316,5247631,5243761,[5243716],[5274361],[5274316],[5274631]
2614375,2614357,[2614735],2613475,2613457,2641375,2641357,[2641735],2164375,2164357,[2164735],2163475,2163457,6214375,6214357,[6214735],6213475,6213457,6241375,6241357,[6241735]
2615374,2615347,2615734,2613574,2613547,2651374,2651347,[2651734],2165374,2165347,2165734,2163574,2163547,6215374,6215347,6215734,6213574,6213547,6251374,6251347,[6251734]
2615473,2615437,2615743,2614573,2614537,2651473,2651437,[2651743],2165473,2165437,2165743,2164573,2164537,6215473,6215437,6215743,6214573,6214537,6251473,6251437,[6251743]
2617354,2617345,2617534,2613754,2613745,2671354,2671345,2671534,2167354,2167345,2167534,2163754,2163745,6217354,6217345,6217534,6213754,6213745,[6271354],[6271345],[6271534]
2617453,2617435,2617543,2614753,[2614735],2671453,2671435,2671543,2167453,2167435,2167543,2164753,[2164735],6217453,6217435,6217543,6214753,[6214735],[6271453],[6271435],[6271543]
2634175,2634157,[2634715],2631475,2631457,2643175,2643157,[2643715],2364175,2364157,[2364715],[2361475],[2361457],6234175,6234157,[6234715],6231475,6231457,6243175,6243157,[6243715]
2635174,2635147,2635714,2631574,2631547,2653174,2653147,[2653714],2365174,2365147,2365714,[2361574],[2361547],6235174,6235147,6235714,6231574,6231547,6253174,6253147,[6253714]
2635471,2635417,2635741,2634571,2634517,2653471,2653417,[2653741],2365471,2365417,2365741,2364571,2364517,6235471,6235417,6235741,6234571,6234517,6253471,6253417,[6253741]
2637154,2637145,2637514,2631754,2631745,2673154,2673145,2673514,2367154,2367145,2367514,[2361754],[2361745],6237154,6237145,6237514,6231754,6231745,[6273154],[6273145],[6273514]
2637451,2637415,2637541,2634751,[2634715],2673451,2673415,2673541,2367451,2367415,2367541,2364751,[2364715],6237451,6237415,6237541,6234751,[6234715],[6273451],[6273415],[6273541]
2645173,2645137,2645713,2641573,2641537,2654173,2654137,2654713,2465173,2465137,2465713,[2461573],[2461537],6245173,6245137,6245713,6241573,6241537,6254173,6254137,6254713
2645371,2645317,2645731,2643571,2643517,2654371,2654317,2654731,2465371,2465317,2465731,[2463571],[2463517],6245371,6245317,6245731,6243571,6243517,6254371,6254317,6254731
2647153,2647135,2647513,2641753,[2641735],2674153,2674135,2674513,2467153,2467135,2467513,[2461753],[2461735],6247153,6247135,6247513,6241753,[6241735],[6274153],[6274135],[6274513]
2647351,2647315,2647531,2643751,[2643715],2674351,2674315,2674531,2467351,2467315,2467531,[2463751],[2463715],6247351,6247315,6247531,6243751,[6243715],[6274351],[6274315],[6274531]
2657143,2657134,2657413,[2651743],[2651734],2675143,2675134,2675413,2567143,2567134,2567413,[2561743],[2561734],6257143,6257134,6257413,[6251743],[6251734],[6275143],[6275134],[6275413]
2657341,2657314,2657431,[2653741],[2653714],2675341,2675314,2675431,2567341,2567314,2567431,[2563741],[2563714],6257341,6257314,6257431,[6253741],[6253714],[6275341],[6275314],[6275431]
2714365,2714356,[2714635],2713465,2713456,2741365,2741356,[2741635],2174365,2174356,[2174635],2173465,2173456,7214365,7214356,[7214635],7213465,7213456,7241365,7241356,[7241635]
2715364,2715346,2715634,2713564,2713546,2751364,2751346,[2751634],2175364,2175346,2175634,2173564,2173546,7215364,7215346,7215634,7213564,7213546,7251364,7251346,[7251634]
2715463,2715436,2715643,2714563,2714536,2751463,2751436,[2751643],2175463,2175436,2175643,2174563,2174536,7215463,7215436,7215643,7214563,7214536,7251463,7251436,[7251643]
2716354,2716345,2716534,2713654,2713645,2761354,2761345,2761534,2176354,2176345,2176534,2173654,2173645,7216354,7216345,7216534,7213654,7213645,7261354,7261345,7261534
2716453,2716435,2716543,2714653,[2714635],2761453,2761435,2761543,2176453,2176435,2176543,2174653,[2174635],7216453,7216435,7216543,7214653,[7214635],7261453,7261435,7261543
2734165,2734156,[2734615],2731465,2731456,2743165,2743156,[2743615],2374165,2374156,[2374615],[2371465],[2371456],7234165,7234156,[7234615],7231465,7231456,7243165,7243156,[7243615]
2735164,2735146,2735614,2731564,2731546,2753164,2753146,[2753614],2375164,2375146,2375614,[2371564],[2371546],7235164,7235146,7235614,7231564,7231546,7253164,7253146,[7253614]
2735461,2735416,2735641,2734561,2734516,2753461,2753416,[2753641],2375461,2375416,2375641,2374561,2374516,7235461,7235416,7235641,7234561,7234516,7253461,7253416,[7253641]
2736154,2736145,2736514,2731654,2731645,2763154,2763145,2763514,2376154,2376145,2376514,[2371654],[2371645],7236154,7236145,7236514,7231654,7231645,7263154,7263145,7263514
2736451,2736415,2736541,2734651,[2734615],2763451,2763415,2763541,2376451,2376415,2376541,2374651,[2374615],7236451,7236415,7236541,7234651,[7234615],7263451,7263415,7263541
2745163,2745136,2745613,2741563,2741536,2754163,2754136,2754613,2475163,2475136,2475613,[2471563],[2471536],7245163,7245136,7245613,7241563,7241536,7254163,7254136,7254613
2745361,2745316,2745631,2743561,2743516,2754361,2754316,2754631,2475361,2475316,2475631,[2473561],[2473516],7245361,7245316,7245631,7243561,7243516,7254361,7254316,7254631
2746153,2746135,2746513,2741653,[2741635],2764153,2764135,2764513,2476153,2476135,2476513,[2471653],[2471635],7246153,7246135,7246513,7241653,[7241635],7264153,7264135,7264513
2746351,2746315,2746531,2743651,[2743615],2764351,2764315,2764531,2476351,2476315,2476531,[2473651],[2473615],7246351,7246315,7246531,7243651,[7243615],7264351,7264315,7264531
2756143,2756134,2756413,[2751643],[2751634],2765143,2765134,2765413,2576143,2576134,2576413,[2571643],[2571634],7256143,7256134,7256413,[7251643],[7251634],7265143,7265134,7265413
2756341,2756314,2756431,[2753641],[2753614],2765341,2765314,2765431,2576341,2576314,2576431,[2573641],[2573614],7256341,7256314,7256431,[7253641],[7253614],7265341,7265314,7265431
3415276,3415267,[3415726],3412576,3412567,3451276,3451267,[3451726],3145276,3145267,[3145726],3142576,3142567,4315276,4315267,[4315726],4312576,4312567,4351276,4351267,[4351726]
3416275,3416257,3416725,3412675,3412657,3461275,3461257,[3461725],3146275,3146257,3146725,3142675,3142657,4316275,4316257,4316725,4312675,4312657,4361275,4361257,[4361725]
3416572,3416527,3416752,3415672,3415627,[3461572],[3461527],[3461752],3146572,3146527,3146752,3145672,3145627,4316572,4316527,4316752,4315672,4315627,[4361572],[4361527],[4361752]
3417265,3417256,3417625,3412765,3412756,3471265,3471256,[3471625],3147265,3147256,3147625,3142765,3142756,4317265,4317256,4317625,4312765,4312756,4371265,4371256,[4371625]
3417562,3417526,3417652,3415762,[3415726],[3471562],[3471526],[3471652],3147562,3147526,3147652,3145762,[3145726],4317562,4317526,4317652,4315762,[4315726],[4371562],[4371526],[4371652]
3425176,3425167,[3425716],3421576,3421567,3452176,3452167,[3452716],3245176,3245167,[3245716],3241576,3241567,4325176,4325167,[4325716],4321576,4321567,4352176,4352167,[4352716]
3426175,3426157,3426715,3421675,3421657,3462175,3462157,[3462715],3246175,3246157,3246715,3241675,3241657,4326175,4326157,4326715,4321675,4321657,4362175,4362157,[4362715]
3426571,3426517,3426751,3425671,3425617,[3462571],[3462517],[3462751],3246571,3246517,3246751,3245671,3245617,4326571,4326517,4326751,4325671,4325617,[4362571],[4362517],[4362751]
3427165,3427156,3427615,3421765,3421756,3472165,3472156,[3472615],3247165,3247156,3247615,3241765,3241756,4327165,4327156,4327615,4321765,4321756,4372165,4372156,[4372615]
3427561,3427516,3427651,3425761,[3425716],[3472561],[3472516],[3472651],3247561,3247516,3247651,3245761,[3245716],4327561,4327516,4327651,4325761,[4325716],[4372561],[4372516],[4372651]
3514276,3514267,[3514726],3512476,3512467,3541276,3541267,[3541726],3154276,3154267,[3154726],[3152476],[3152467],5314276,5314267,[5314726],5312476,5312467,5341276,5341267,[5341726]
3516274,3516247,3516724,3512674,3512647,3561274,3561247,[3561724],3156274,3156247,3156724,3152674,3152647,5316274,5316247,5316724,5312674,5312647,5361274,5361247,[5361724]
3516472,3516427,3516742,3514672,3514627,3561472,3561427,[3561742],3156472,3156427,3156742,3154672,3154627,5316472,5316427,5316742,5314672,5314627,[5361472],[5361427],[5361742]
3517264,3517246,3517624,3512764,3512746,3571264,3571246,[3571624],3157264,3157246,3157624,3152764,[3152746],5317264,5317246,5317624,5312764,5312746,5371264,5371246,[5371624]
3517462,3517426,3517642,3514762,[3514726],3571462,3571426,[3571642],3157462,3157426,3157642,3154762,[3154726],5317462,5317426,5317642,5314762,[5314726],[5371462],[5371426],[5371642]
3524176,3524167,[3524716],3521476,3521467,3542176,3542167,[3542716],3254176,3254167,[3254716],[3251476],[3251467],5324176,5324167,[5324716],5321476,5321467,5342176,5342167,[5342716]
3526174,3526147,3526714,3521674,3521647,3562174,3562147,[3562714],3256174,3256147,3256714,3251674,3251647,5326174,5326147,5326714,5321674,5321647,5362174,5362147,[5362714]
3526471,3526417,3526741,3524671,3524617,3562471,3562417,[3562741],3256471,3256417,3256741,3254671,3254617,5326471,5326417,5326741,5324671,5324617,[5362471],[5362417],[5362741]
3527164,3527146,3527614,3521764,3521746,3572164,3572146,[3572614],3257164,3257146,3257614,3251764,[3251746],5327164,5327146,5327614,5321764,5321746,5372164,5372146,[5372614]
3527461,3527416,3527641,3524761,[3524716],3572461,3572416,[3572641],3257461,3257416,3257641,3254761,[3254716],5327461,5327416,5327641,5324761,[5324716],[5372461],[5372416],[5372641]
3546172,3546127,3546712,3541672,3541627,3564172,3564127,3564712,3456172,3456127,3456712,3451672,3451627,5346172,5346127,5346712,5341672,5341627,[5364172],[5364127],[5364712]
3546271,3546217,3546721,3542671,3542617,3564271,3564217,3564721,3456271,3456217,3456721,3452671,3452617,5346271,5346217,5346721,5342671,5342617,[5364271],[5364217],[5364721]
3547162,3547126,3547612,3541762,[3541726],3574162,3574126,3574612,3457162,3457126,3457612,3451762,[3451726],5347162,5347126,5347612,5341762,[5341726],[5374162],[5374126],[5374612]
3547261,3547216,3547621,3542761,[3542716],3574261,3574216,3574621,3457261,3457216,3457621,3452761,[3452716],5347261,5347216,5347621,5342761,[5342716],[5374261],[5374216],[5374621]
3614275,3614257,[3614725],3612475,3612457,3641275,3641257,[3641725],3164275,3164257,[3164725],[3162475],[3162457],6314275,6314257,[6314725],6312475,6312457,6341275,6341257,[6341725]
3615274,3615247,3615724,3612574,3612547,3651274,3651247,[3651724],3165274,3165247,3165724,[3162574],[3162547],6315274,6315247,6315724,6312574,6312547,6351274,6351247,[6351724]
3615472,3615427,3615742,3614572,3614527,3651472,3651427,[3651742],3165472,3165427,3165742,3164572,3164527,6315472,6315427,6315742,6314572,6314527,6351472,6351427,[6351742]
3617254,3617245,3617524,3612754,3612745,3671254,3671245,3671524,3167254,3167245,3167524,[3162754],[3162745],6317254,6317245,6317524,6312754,6312745,6371254,6371245,[6371524]
3617452,3617425,3617542,3614752,[3614725],3671452,3671425,3671542,3167452,3167425,3167542,3164752,[3164725],6317452,6317425,6317542,6314752,[6314725],[6371452],[6371425],[6371542]
3624175,3624157,[3624715],3621475,3621457,3642175,3642157,[3642715],3264175,3264157,[3264715],[3261475],[3261457],6324175,6324157,[6324715],6321475,6321457,6342175,6342157,[6342715]
