********,******(),*****()*,****()**,****()(),***()***,***()*(),***()()*,**()****,**()**(),**()*()*,**()()**,**()()(),*()*****,*()***(),*()**()*,*()*()**,*()*()(),*()()***,*()()*(),*()()()*,()******,()****(),()***()*,()**()**,()**()(),()*()***,()*()*(),()*()()*,()()****,()()**(),()()*()*,()()()**,()()()()
13254768,13254786,13254678,[13257468],[13257486],13245768,13245786,13245678,[13524768],[13524786],[13524678],[13527468],[13527486],12354768,12354786,12354678,[12357468],[12357486],12345768,12345786,12345678,31254768,31254786,31254678,[31257468],[31257486],31245768,31245786,31245678,[31524768],[31524786],[31524678],[31527468],[31527486]
13284657,13284675,13284567,13286457,[13286475],13248657,13248675,13248567,[13824657],[13824675],[13824567],[13826457],[13826475],12384657,12384675,12384567,12386457,[12386475],12348657,12348675,12348567,31284657,31284675,31284567,31286457,[31286475],31248657,31248675,31248567,[31824657],[31824675],[31824567],[31826457],[31826475]
13284756,13284765,13284576,13287456,13287465,13248756,13248765,13248576,[13824756],[13824765],[13824576],[13827456],[13827465],12384756,12384765,12384576,12387456,12387465,12348756,12348765,12348576,31284756,31284765,31284576,31287456,31287465,31248756,31248765,31248576,[31824756],[31824765],[31824576],[31827456],[31827465]
13285647,13285674,13285467,13286547,13286574,13258647,13258674,[13258467],[13825647],[13825674],[13825467],[13826547],[13826574],12385647,12385674,12385467,12386547,12386574,12358647,12358674,[12358467],31285647,31285674,31285467,31286547,31286574,31258647,31258674,[31258467],[31825647],[31825674],[31825467],[31826547],[31826574]
13285746,13285764,13285476,13287546,13287564,13258746,13258764,[13258476],[13825746],[13825764],[13825476],[13827546],[13827564],12385746,12385764,12385476,12387546,12387564,12358746,12358764,[12358476],31285746,31285764,31285476,31287546,31287564,31258746,31258764,[31258476],[31825746],[31825764],[31825476],[31827546],[31827564]
13286745,13286754,[13286475],13287645,13287654,13268745,13268754,[13268475],[13826745],[13826754],[13826475],[13827645],[13827654],12386745,12386754,[12386475],12387645,12387654,12368745,12368754,[12368475],31286745,31286754,[31286475],31287645,31287654,31268745,31268754,[31268475],[31826745],[31826754],[31826475],[31827645],[31827654]
14253768,14253786,14253678,[14257368],[14257386],14235768,14235786,14235678,14523768,14523786,14523678,[14527368],[14527386],12453768,12453786,12453678,[12457368],[12457386],12435768,12435786,12435678,41253768,41253786,41253678,[41257368],[41257386],41235768,41235786,41235678,[41523768],[41523786],[41523678],[41527368],[41527386]
14253867,14253876,14253687,[14258367],[14258376],14235867,14235876,14235687,14523867,14523876,14523687,[14528367],[14528376],12453867,12453876,12453687,[12458367],[12458376],12435867,12435876,12435687,41253867,41253876,41253687,[41258367],[41258376],41235867,41235876,41235687,[41523867],[41523876],[41523687],[41528367],[41528376]
14263758,14263785,14263578,14267358,[14267385],14236758,14236785,14236578,14623758,14623785,14623578,[14627358],[14627385],12463758,12463785,12463578,12467358,[12467385],12436758,12436785,12436578,41263758,41263785,41263578,41267358,[41267385],41236758,41236785,41236578,[41623758],[41623785],[41623578],[41627358],[41627385]
14263857,14263875,14263587,14268357,[14268375],14236857,14236875,14236587,14623857,14623875,14623587,[14628357],[14628375],12463857,12463875,12463587,12468357,[12468375],12436857,12436875,12436587,41263857,41263875,41263587,41268357,[41268375],41236857,41236875,41236587,[41623857],[41623875],[41623587],[41628357],[41628375]
14265738,14265783,14265378,14267538,14267583,14256738,14256783,14256378,[14625738],[14625783],[14625378],[14627538],[14627583],12465738,12465783,12465378,12467538,12467583,12456738,12456783,12456378,41265738,41265783,41265378,41267538,41267583,41256738,41256783,41256378,[41625738],[41625783],[41625378],[41627538],[41627583]
14265837,14265873,14265387,14268537,14268573,14256837,14256873,14256387,[14625837],[14625873],[14625387],[14628537],[14628573],12465837,12465873,12465387,12468537,12468573,12456837,12456873,12456387,41265837,41265873,41265387,41268537,41268573,41256837,41256873,41256387,[41625837],[41625873],[41625387],[41628537],[41628573]
14273658,14273685,14273568,14276358,[14276385],14237658,14237685,14237568,14723658,14723685,14723568,[14726358],[14726385],12473658,12473685,12473568,12476358,[12476385],12437658,12437685,12437568,41273658,41273685,41273568,41276358,[41276385],41237658,41237685,41237568,[41723658],[41723685],[41723568],[41726358],[41726385]
14273856,14273865,14273586,14278356,14278365,14237856,14237865,14237586,14723856,14723865,14723586,[14728356],[14728365],12473856,12473865,12473586,12478356,12478365,12437856,12437865,12437586,41273856,41273865,41273586,41278356,41278365,41237856,41237865,41237586,[41723856],[41723865],[41723586],[41728356],[41728365]
14275638,14275683,14275368,14276538,14276583,14257638,14257683,[14257368],[14725638],[14725683],[14725368],[14726538],[14726583],12475638,12475683,12475368,12476538,12476583,12457638,12457683,[12457368],41275638,41275683,41275368,41276538,41276583,41257638,41257683,[41257368],[41725638],[41725683],[41725368],[41726538],[41726583]
14275836,14275863,14275386,14278536,14278563,14257836,14257863,[14257386],[14725836],[14725863],[14725386],[14728536],[14728563],12475836,12475863,12475386,12478536,12478563,12457836,12457863,[12457386],41275836,41275863,41275386,41278536,41278563,41257836,41257863,[41257386],[41725836],[41725863],[41725386],[41728536],[41728563]
14276835,14276853,[14276385],14278635,14278653,14267835,14267853,[14267385],[14726835],[14726853],[14726385],[14728635],[14728653],12476835,12476853,[12476385],12478635,12478653,12467835,12467853,[12467385],41276835,41276853,[41276385],41278635,41278653,41267835,41267853,[41267385],[41726835],[41726853],[41726385],[41728635],[41728653]
14283657,14283675,14283567,14286357,[14286375],14238657,14238675,14238567,14823657,14823675,14823567,[14826357],[14826375],12483657,12483675,12483567,12486357,[12486375],12438657,12438675,12438567,41283657,41283675,41283567,41286357,[41286375],41238657,41238675,41238567,[41823657],[41823675],[41823567],[41826357],[41826375]
14283756,14283765,14283576,14287356,14287365,14238756,14238765,14238576,14823756,14823765,14823576,[14827356],[14827365],12483756,12483765,12483576,12487356,12487365,12438756,12438765,12438576,41283756,41283765,41283576,41287356,41287365,41238756,41238765,41238576,[41823756],[41823765],[41823576],[41827356],[41827365]
14285637,14285673,14285367,14286537,14286573,14258637,14258673,[14258367],[14825637],[14825673],[14825367],[14826537],[14826573],12485637,12485673,12485367,12486537,12486573,12458637,12458673,[12458367],41285637,41285673,41285367,41286537,41286573,41258637,41258673,[41258367],[41825637],[41825673],[41825367],[41826537],[41826573]
14285736,14285763,14285376,14287536,14287563,14258736,14258763,[14258376],[14825736],[14825763],[14825376],[14827536],[14827563],12485736,12485763,12485376,12487536,12487563,12458736,12458763,[12458376],41285736,41285763,41285376,41287536,41287563,41258736,41258763,[41258376],[41825736],[41825763],[41825376],[41827536],[41827563]
14286735,14286753,[14286375],14287635,14287653,14268735,14268753,[14268375],[14826735],[14826753],[14826375],[14827635],[14827653],12486735,12486753,[12486375],12487635,12487653,12468735,12468753,[12468375],41286735,41286753,[41286375],41287635,41287653,41268735,41268753,[41268375],[41826735],[41826753],[41826375],[41827635],[41827653]
14352768,14352786,14352678,[14357268],[14357286],14325768,14325786,14325678,14532768,14532786,14532678,[14537268],[14537286],13452768,13452786,13452678,[13457268],[13457286],13425768,13425786,13425678,41352768,41352786,41352678,[41357268],[41357286],41325768,41325786,41325678,[41532768],[41532786],[41532678],[41537268],[41537286]
14352867,14352876,14352687,[14358267],[14358276],14325867,14325876,14325687,14532867,14532876,14532687,[14538267],[14538276],13452867,13452876,13452687,[13458267],[13458276],13425867,13425876,13425687,41352867,41352876,41352687,[41358267],[41358276],41325867,41325876,41325687,[41532867],[41532876],[41532687],[41538267],[41538276]
14362758,14362785,14362578,14367258,[14367285],14326758,14326785,14326578,14632758,14632785,14632578,[14637258],[14637285],13462758,13462785,13462578,13467258,[13467285],13426758,13426785,13426578,41362758,41362785,41362578,41367258,[41367285],41326758,41326785,41326578,[41632758],[41632785],[41632578],[41637258],[41637285]
14362857,14362875,14362587,14368257,[14368275],14326857,14326875,14326587,14632857,14632875,14632587,[14638257],[14638275],13462857,13462875,13462587,13468257,[13468275],13426857,13426875,13426587,41362857,41362875,41362587,41368257,[41368275],41326857,41326875,41326587,[41632857],[41632875],[41632587],[41638257],[41638275]
14365728,14365782,14365278,14367528,14367582,14356728,14356782,14356278,[14635728],[14635782],[14635278],[14637528],[14637582],13465728,13465782,13465278,13467528,13467582,13456728,13456782,13456278,41365728,41365782,41365278,41367528,41367582,41356728,41356782,41356278,[41635728],[41635782],[41635278],[41637528],[41637582]
14365827,14365872,14365287,14368527,14368572,14356827,14356872,14356287,[14635827],[14635872],[14635287],[14638527],[14638572],13465827,13465872,13465287,13468527,13468572,13456827,13456872,13456287,41365827,41365872,41365287,41368527,41368572,41356827,41356872,41356287,[41635827],[41635872],[41635287],[41638527],[41638572]
14372658,14372685,14372568,14376258,[14376285],14327658,14327685,14327568,14732658,14732685,14732568,[14736258],[14736285],13472658,13472685,13472568,13476258,[13476285],13427658,13427685,13427568,41372658,41372685,41372568,41376258,[41376285],41327658,41327685,41327568,[41732658],[41732685],[41732568],[41736258],[41736285]
14372856,14372865,14372586,14378256,14378265,14327856,14327865,14327586,14732856,14732865,14732586,[14738256],[14738265],13472856,13472865,13472586,13478256,13478265,13427856,13427865,13427586,41372856,41372865,41372586,41378256,41378265,41327856,41327865,41327586,[41732856],[41732865],[41732586],[41738256],[41738265]
14375628,14375682,14375268,14376528,14376582,14357628,14357682,[14357268],[14735628],[14735682],[14735268],[14736528],[14736582],13475628,13475682,13475268,13476528,13476582,13457628,13457682,[13457268],41375628,41375682,41375268,41376528,41376582,41357628,41357682,[41357268],[41735628],[41735682],[41735268],[41736528],[41736582]
14375826,14375862,14375286,14378526,14378562,14357826,14357862,[14357286],[14735826],[14735862],[14735286],[14738526],[14738562],13475826,13475862,13475286,13478526,13478562,13457826,13457862,[13457286],41375826,41375862,41375286,41378526,41378562,41357826,41357862,[41357286],[41735826],[41735862],[41735286],[41738526],[41738562]
14376825,14376852,[14376285],14378625,14378652,14367825,14367852,[14367285],[14736825],[14736852],[14736285],[14738625],[14738652],13476825,13476852,[13476285],13478625,13478652,13467825,13467852,[13467285],41376825,41376852,[41376285],41378625,41378652,41367825,41367852,[41367285],[41736825],[41736852],[41736285],[41738625],[41738652]
14382657,14382675,14382567,14386257,[14386275],14328657,14328675,14328567,14832657,14832675,14832567,[14836257],[14836275],13482657,13482675,13482567,13486257,[13486275],13428657,13428675,13428567,41382657,41382675,41382567,41386257,[41386275],41328657,41328675,41328567,[41832657],[41832675],[41832567],[41836257],[41836275]
14382756,14382765,14382576,14387256,14387265,14328756,14328765,14328576,14832756,14832765,14832576,[14837256],[14837265],13482756,13482765,13482576,13487256,13487265,13428756,13428765,13428576,41382756,41382765,41382576,41387256,41387265,41328756,41328765,41328576,[41832756],[41832765],[41832576],[41837256],[41837265]
14385627,14385672,14385267,14386527,14386572,14358627,14358672,[14358267],[14835627],[14835672],[14835267],[14836527],[14836572],13485627,13485672,13485267,13486527,13486572,13458627,13458672,[13458267],41385627,41385672,41385267,41386527,41386572,41358627,41358672,[41358267],[41835627],[41835672],[41835267],[41836527],[41836572]
14385726,14385762,14385276,14387526,14387562,14358726,14358762,[14358276],[14835726],[14835762],[14835276],[14837526],[14837562],13485726,13485762,13485276,13487526,13487562,13458726,13458762,[13458276],41385726,41385762,41385276,41387526,41387562,41358726,41358762,[41358276],[41835726],[41835762],[41835276],[41837526],[41837562]
14386725,14386752,[14386275],14387625,14387652,14368725,14368752,[14368275],[14836725],[14836752],[14836275],[14837625],[14837652],13486725,13486752,[13486275],13487625,13487652,13468725,13468752,[13468275],41386725,41386752,[41386275],41387625,41387652,41368725,41368752,[41368275],[41836725],[41836752],[41836275],[41837625],[41837652]
15243768,15243786,15243678,[15247368],[15247386],15234768,15234786,15234678,15423768,15423786,15423678,[15427368],[15427386],12543768,12543786,12543678,[12547368],[12547386],12534768,12534786,12534678,51243768,51243786,51243678,[51247368],[51247386],51234768,51234786,51234678,51423768,51423786,51423678,[51427368],[51427386]
15243867,15243876,15243687,[15248367],[15248376],15234867,15234876,15234687,15423867,15423876,15423687,[15428367],[15428376],12543867,12543876,12543687,[12548367],[12548376],12534867,12534876,12534687,51243867,51243876,51243687,[51248367],[51248376],51234867,51234876,51234687,51423867,51423876,51423687,[51428367],[51428376]
15263748,15263784,15263478,15267348,[15267384],15236748,15236784,15236478,15623748,15623784,15623478,[15627348],[15627384],12563748,12563784,12563478,12567348,[12567384],12536748,12536784,12536478,51263748,51263784,51263478,51267348,[51267384],51236748,51236784,51236478,[51623748],[51623784],[51623478],[51627348],[51627384]
15263847,15263874,15263487,15268347,[15268374],15236847,15236874,15236487,15623847,15623874,15623487,[15628347],[15628374],12563847,12563874,12563487,12568347,[12568374],12536847,12536874,12536487,51263847,51263874,51263487,51268347,[51268374],51236847,51236874,51236487,[51623847],[51623874],[51623487],[51628347],[51628374]
15264738,15264783,15264378,15267438,15267483,15246738,15246783,15246378,15624738,15624783,15624378,[15627438],[15627483],12564738,12564783,12564378,12567438,12567483,12546738,12546783,12546378,51264738,51264783,51264378,51267438,51267483,51246738,51246783,51246378,[51624738],[51624783],[51624378],[51627438],[51627483]
15264837,15264873,15264387,15268437,15268473,15246837,15246873,15246387,15624837,15624873,15624387,[15628437],[15628473],12564837,12564873,12564387,12568437,12568473,12546837,12546873,12546387,51264837,51264873,51264387,51268437,51268473,51246837,51246873,51246387,[51624837],[51624873],[51624387],[51628437],[51628473]
15273648,15273684,15273468,15276348,[15276384],15237648,15237684,15237468,15723648,15723684,15723468,[15726348],[15726384],12573648,12573684,12573468,12576348,[12576384],12537648,12537684,12537468,51273648,51273684,51273468,51276348,[51276384],51237648,51237684,51237468,[51723648],[51723684],[51723468],[51726348],[51726384]
15273846,15273864,15273486,15278346,15278364,15237846,15237864,15237486,15723846,15723864,15723486,[15728346],[15728364],12573846,12573864,12573486,12578346,12578364,12537846,12537864,12537486,51273846,51273864,51273486,51278346,51278364,51237846,51237864,51237486,[51723846],[51723864],[51723486],[51728346],[51728364]
15274638,15274683,15274368,15276438,15276483,15247638,15247683,[15247368],15724638,15724683,15724368,[15726438],[15726483],12574638,12574683,12574368,12576438,12576483,12547638,12547683,[12547368],51274638,51274683,51274368,51276438,51276483,51247638,51247683,[51247368],[51724638],[51724683],[51724368],[51726438],[51726483]
15274836,15274863,15274386,15278436,15278463,15247836,15247863,[15247386],15724836,15724863,15724386,[15728436],[15728463],12574836,12574863,12574386,12578436,12578463,12547836,12547863,[12547386],51274836,51274863,51274386,51278436,51278463,51247836,51247863,[51247386],[51724836],[51724863],[51724386],[51728436],[51728463]
15276834,15276843,[15276384],15278634,15278643,15267834,15267843,[15267384],[15726834],[15726843],[15726384],[15728634],[15728643],12576834,12576843,[12576384],12578634,12578643,12567834,12567843,[12567384],51276834,51276843,[51276384],51278634,51278643,51267834,51267843,[51267384],[51726834],[51726843],[51726384],[51728634],[51728643]
15283647,15283674,15283467,15286347,[15286374],15238647,15238674,15238467,15823647,15823674,15823467,[15826347],[15826374],12583647,12583674,12583467,12586347,[12586374],12538647,12538674,12538467,51283647,51283674,51283467,51286347,[51286374],51238647,51238674,51238467,[51823647],[51823674],[51823467],[51826347],[51826374]
15283746,15283764,15283476,15287346,15287364,15238746,15238764,15238476,15823746,15823764,15823476,[15827346],[15827364],12583746,12583764,12583476,12587346,12587364,12538746,12538764,12538476,51283746,51283764,51283476,51287346,51287364,51238746,51238764,51238476,[51823746],[51823764],[51823476],[51827346],[51827364]
15284637,15284673,15284367,15286437,15286473,15248637,15248673,[15248367],15824637,15824673,15824367,[15826437],[15826473],12584637,12584673,12584367,12586437,12586473,12548637,12548673,[12548367],51284637,51284673,51284367,51286437,51286473,51248637,51248673,[51248367],[51824637],[51824673],[51824367],[51826437],[51826473]
15284736,15284763,15284376,15287436,15287463,15248736,15248763,[15248376],15824736,15824763,15824376,[15827436],[15827463],12584736,12584763,12584376,12587436,12587463,12548736,12548763,[12548376],51284736,51284763,51284376,51287436,51287463,51248736,51248763,[51248376],[51824736],[51824763],[51824376],[51827436],[51827463]
15286734,15286743,[15286374],15287634,15287643,15268734,15268743,[15268374],[15826734],[15826743],[15826374],[15827634],[15827643],12586734,12586743,[12586374],12587634,12587643,12568734,12568743,[12568374],51286734,51286743,[51286374],51287634,51287643,51268734,51268743,[51268374],[51826734],[51826743],[51826374],[51827634],[51827643]
15342768,15342786,15342678,[15347268],[15347286],15324768,15324786,15324678,15432768,15432786,15432678,[15437268],[15437286],13542768,13542786,13542678,[13547268],[13547286],[13524768],[13524786],[13524678],51342768,51342786,51342678,[51347268],[51347286],51324768,51324786,51324678,51432768,51432786,51432678,[51437268],[51437286]
15342867,15342876,15342687,[15348267],[15348276],15324867,15324876,15324687,15432867,15432876,15432687,[15438267],[15438276],13542867,13542876,13542687,[13548267],[13548276],[13524867],[13524876],[13524687],51342867,51342876,51342687,[51348267],[51348276],51324867,51324876,51324687,51432867,51432876,51432687,[51438267],[51438276]
15362748,15362784,15362478,15367248,[15367284],15326748,15326784,15326478,15632748,15632784,15632478,[15637248],[15637284],13562748,13562784,13562478,13567248,[13567284],13526748,13526784,13526478,51362748,51362784,51362478,51367248,[51367284],51326748,51326784,51326478,[51632748],[51632784],[51632478],[51637248],[51637284]
15362847,15362874,15362487,15368247,[15368274],15326847,15326874,15326487,15632847,15632874,15632487,[15638247],[15638274],13562847,13562874,13562487,13568247,[13568274],13526847,13526874,13526487,51362847,51362874,51362487,51368247,[51368274],51326847,51326874,51326487,[51632847],[51632874],[51632487],[51638247],[51638274]
15364728,15364782,15364278,15367428,15367482,15346728,15346782,15346278,15634728,15634782,15634278,[15637428],[15637482],13564728,13564782,13564278,13567428,13567482,13546728,13546782,13546278,51364728,51364782,51364278,51367428,51367482,51346728,51346782,51346278,[51634728],[51634782],[51634278],[51637428],[51637482]
15364827,15364872,15364287,15368427,15368472,15346827,15346872,15346287,15634827,15634872,15634287,[15638427],[15638472],13564827,13564872,13564287,13568427,13568472,13546827,13546872,13546287,51364827,51364872,51364287,51368427,51368472,51346827,51346872,51346287,[51634827],[51634872],[51634287],[51638427],[51638472]
15372648,15372684,15372468,15376248,[15376284],15327648,15327684,15327468,15732648,15732684,15732468,[15736248],[15736284],13572648,13572684,13572468,13576248,[13576284],13527648,13527684,[13527468],51372648,51372684,51372468,51376248,[51376284],51327648,51327684,51327468,[51732648],[51732684],[51732468],[51736248],[51736284]
15372846,15372864,15372486,15378246,15378264,15327846,15327864,15327486,15732846,15732864,15732486,[15738246],[15738264],13572846,13572864,13572486,13578246,13578264,13527846,13527864,[13527486],51372846,51372864,51372486,51378246,51378264,51327846,51327864,51327486,[51732846],[51732864],[51732486],[51738246],[51738264]
15374628,15374682,15374268,15376428,15376482,15347628,15347682,[15347268],15734628,15734682,15734268,[15736428],[15736482],13574628,13574682,13574268,13576428,13576482,13547628,13547682,[13547268],51374628,51374682,51374268,51376428,51376482,51347628,51347682,[51347268],[51734628],[51734682],[51734268],[51736428],[51736482]
15374826,15374862,15374286,15378426,15378462,15347826,15347862,[15347286],15734826,15734862,15734286,[15738426],[15738462],13574826,13574862,13574286,13578426,13578462,13547826,13547862,[13547286],51374826,51374862,51374286,51378426,51378462,51347826,51347862,[51347286],[51734826],[51734862],[51734286],[51738426],[51738462]
15376824,15376842,[15376284],15378624,15378642,15367824,15367842,[15367284],[15736824],[15736842],[15736284],[15738624],[15738642],13576824,13576842,[13576284],13578624,13578642,13567824,13567842,[13567284],51376824,51376842,[51376284],51378624,51378642,51367824,51367842,[51367284],[51736824],[51736842],[51736284],[51738624],[51738642]
15382647,15382674,15382467,15386247,[15386274],15328647,15328674,15328467,15832647,15832674,15832467,[15836247],[15836274],13582647,13582674,13582467,13586247,[13586274],13528647,13528674,[13528467],51382647,51382674,51382467,51386247,[51386274],51328647,51328674,51328467,[51832647],[51832674],[51832467],[51836247],[51836274]
15382746,15382764,15382476,15387246,15387264,15328746,15328764,15328476,15832746,15832764,15832476,[15837246],[15837264],13582746,13582764,13582476,13587246,13587264,13528746,13528764,[13528476],51382746,51382764,51382476,51387246,51387264,51328746,51328764,51328476,[51832746],[51832764],[51832476],[51837246],[51837264]
15384627,15384672,15384267,15386427,15386472,15348627,15348672,[15348267],15834627,15834672,15834267,[15836427],[15836472],13584627,13584672,13584267,13586427,13586472,13548627,13548672,[13548267],51384627,51384672,51384267,51386427,51386472,51348627,51348672,[51348267],[51834627],[51834672],[51834267],[51836427],[51836472]
15384726,15384762,15384276,15387426,15387462,15348726,15348762,[15348276],15834726,15834762,15834276,[15837426],[15837462],13584726,13584762,13584276,13587426,13587462,13548726,13548762,[13548276],51384726,51384762,51384276,51387426,51387462,51348726,51348762,[51348276],[51834726],[51834762],[51834276],[51837426],[51837462]
15386724,15386742,[15386274],15387624,15387642,15368724,15368742,[15368274],[15836724],[15836742],[15836274],[15837624],[15837642],13586724,13586742,[13586274],13587624,13587642,13568724,13568742,[13568274],51386724,51386742,[51386274],51387624,51387642,51368724,51368742,[51368274],[51836724],[51836742],[51836274],[51837624],[51837642]
15462738,15462783,15462378,15467238,[15467283],15426738,15426783,15426378,15642738,15642783,15642378,15647238,[15647283],14562738,14562783,14562378,14567238,[14567283],14526738,14526783,14526378,51462738,51462783,51462378,51467238,[51467283],51426738,51426783,51426378,[51642738],[51642783],[51642378],[51647238],[51647283]
15462837,15462873,15462387,15468237,[15468273],15426837,15426873,15426387,15642837,15642873,15642387,15648237,[15648273],14562837,14562873,14562387,14568237,[14568273],14526837,14526873,14526387,51462837,51462873,51462387,51468237,[51468273],51426837,51426873,51426387,[51642837],[51642873],[51642387],[51648237],[51648273]
15463728,15463782,15463278,15467328,15467382,15436728,15436782,15436278,15643728,15643782,15643278,15647328,15647382,14563728,14563782,14563278,14567328,14567382,14536728,14536782,14536278,51463728,51463782,51463278,51467328,51467382,51436728,51436782,51436278,[51643728],[51643782],[51643278],[51647328],[51647382]
15463827,15463872,15463287,15468327,15468372,15436827,15436872,15436287,15643827,15643872,15643287,15648327,15648372,14563827,14563872,14563287,14568327,14568372,14536827,14536872,14536287,51463827,51463872,51463287,51468327,51468372,51436827,51436872,51436287,[51643827],[51643872],[51643287],[51648327],[51648372]
15472638,15472683,15472368,15476238,[15476283],15427638,15427683,[15427368],15742638,15742683,15742368,15746238,[15746283],14572638,14572683,14572368,14576238,[14576283],14527638,14527683,[14527368],51472638,51472683,51472368,51476238,[51476283],51427638,51427683,[51427368],[51742638],[51742683],[51742368],[51746238],[51746283]
15472836,15472863,15472386,15478236,15478263,15427836,15427863,[15427386],15742836,15742863,15742386,15748236,[15748263],14572836,14572863,14572386,14578236,14578263,14527836,14527863,[14527386],51472836,51472863,51472386,51478236,51478263,51427836,51427863,[51427386],[51742836],[51742863],[51742386],[51748236],[51748263]
15473628,15473682,15473268,15476328,15476382,15437628,15437682,[15437268],15743628,15743682,15743268,15746328,15746382,14573628,14573682,14573268,14576328,14576382,14537628,14537682,[14537268],51473628,51473682,51473268,51476328,51476382,51437628,51437682,[51437268],[51743628],[51743682],[51743268],[51746328],[51746382]
15473826,15473862,15473286,15478326,15478362,15437826,15437862,[15437286],15743826,15743862,15743286,15748326,15748362,14573826,14573862,14573286,14578326,14578362,14537826,14537862,[14537286],51473826,51473862,51473286,51478326,51478362,51437826,51437862,[51437286],[51743826],[51743862],[51743286],[51748326],[51748362]
15476823,15476832,[15476283],15478623,15478632,15467823,15467832,[15467283],[15746823],[15746832],[15746283],[15748623],[15748632],14576823,14576832,[14576283],14578623,14578632,14567823,14567832,[14567283],51476823,51476832,[51476283],51478623,51478632,51467823,51467832,[51467283],[51746823],[51746832],[51746283],[51748623],[51748632]
15482637,15482673,15482367,15486237,[15486273],15428637,15428673,[15428367],15842637,15842673,15842367,15846237,[15846273],14582637,14582673,14582367,14586237,[14586273],14528637,14528673,[14528367],51482637,51482673,51482367,51486237,[51486273],51428637,51428673,[51428367],[51842637],[51842673],[51842367],[51846237],[51846273]
15482736,15482763,15482376,15487236,15487263,15428736,15428763,[15428376],15842736,15842763,15842376,15847236,[15847263],14582736,14582763,14582376,14587236,14587263,14528736,14528763,[14528376],51482736,51482763,51482376,51487236,51487263,51428736,51428763,[51428376],[51842736],[51842763],[51842376],[51847236],[51847263]
